/s/,Duration,Pitch,Intensity,F1
la_salas,0.1093,137.3643,60.9899,742.6721
las_alas,0.1017,125.6978,59.4036,868.9731
buscas_obras,0.0815,358.85,60.0045,1249.0764
busca_sobras,0.0892,136.6354,58.0694,881.8634
era_sancho,0.0943,116.9979,54.9897,1286.3714
eras_ancho,0.0888,126.4542,58.1739,1081.7648
quieres_ocio,0.0933,123.3861,57.8382,1147.6367
quiere_socio,0.1024,Undefined?,58.5126,1092.7929
quizas_urja,0.0734,134.8317,57.9742,1082.2071
quiza_surja,0.0708,142.2368,59.9423,796.7455
tiene_sodio,0.1121,123.5978,58.9756,1394.0146
tienes_odio,0.11,147.9759,60.8759,888.7746
ves_osos,0.0863,122.6482,55.6706,1302.6964
ve_sosos,0.1044,126.9644,57.9504,1496.7436
,,,,
/n/,Duration,Pitch,Intensity,F1
Sin_ego,0.0713,125.2039,69.1838,351.4713
Si_nego,0.0591,130.5832,67.9522,321.7015
Ven_algas,0.0317,126.9936,68.0174,383.7568
Ve_nalgas,0.0748,137.3631,68.5107,375.9121
Ven_anas,0.0532,123.1566,69.9231,341.4187
Ve_nanas,0.0733,124.5662,69.5384,343.1394
Ve_narcos,0.0656,134.8689,67.7631,394.5175
Ven_arcos,0.0528,136.8884,69.4168,352.2761
Ve_naves,0.0594,138.2129,69.0762,345.2664
Ven_aves,0.0379,131.552,68.2054,387.4734
